model,parameter,macro_avg_f1-score,weighted_avg_f1-score
svc,"(1.5, 'poly', 3, 0.3, 0.0)",0.4052864817512848,0.751594857596354
svc,"(1.5, 'sigmoid', 3, 0.25, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 0.25, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 0.25, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.25, 'poly', 4, 0.3, -0.5)",0.38974679872036977,0.7349527887441069
svc,"(1.25, 'poly', 4, 0.3, 0.0)",0.3968131204652894,0.7414912994994605
svc,"(1.25, 'poly', 4, 0.3, 0.5)",0.4060114782682634,0.7501040025523066
svc,"(1.5, 'poly', 5, 0.2, 0.0)",0.39847004012002024,0.7428839661083987
svc,"(1.5, 'poly', 5, 0.2, 0.5)",0.39523704647268093,0.7421703874943432
svc,"(1.5, 'poly', 5, 0.2, -0.5)",0.39467086630908965,0.7419582646953224
svc,"(1.0, 'sigmoid', 3, 0.25, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'rbf', 3, 0.35, 0)",0.3840010891850385,0.7562620572543463
svc,"(1.5, 'sigmoid', 3, 0.3, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'sigmoid', 3, 0.3, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'sigmoid', 3, 0.3, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.5, 'poly', 4, 'auto', -0.5)",0.37725889518507205,0.7515135802176591
svc,"(1.5, 'poly', 4, 'auto', 0.0)",0.3787616661998795,0.7527692338432108
svc,"(0.5, 'poly', 2, 0.3, -0.5)",0.39498384104478856,0.7528573896465586
svc,"(0.5, 'poly', 2, 0.3, 0.0)",0.39498384104478856,0.7528573896465586
svc,"(0.5, 'poly', 2, 0.3, 0.5)",0.3926649816474099,0.7513634375854508
svc,"(1.5, 'poly', 4, 'auto', 0.5)",0.3799162391624887,0.7536638106564717
svc,"(0.75, 'poly', 4, 0.35, -0.5)",0.3938300087066957,0.7424166484963278
svc,"(0.75, 'poly', 4, 0.35, 0.5)",0.3983467662583654,0.743216146281421
svc,"(0.75, 'poly', 4, 0.35, 0.0)",0.4000866468948613,0.7423692724583293
svc,"(1.5, 'rbf', 3, 0.15, 0)",0.3832281924158476,0.7561377618368229
svc,"(0.75, 'sigmoid', 3, 'scale', 0.5)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 'scale', 0.0)",0.23719862181489534,0.6561237651288766
svc,"(0.75, 'sigmoid', 3, 'scale', -0.5)",0.23719862181489534,0.6561237651288766
